ISIN_code,company,parent_market,year,revenue,net_income,net_income_margin
AT0000743059,OMV,Exploration and production,2016,"20,314,486.00","-425,064.00",-0.02
AT0000743059,OMV,Exploration and production,2017,"24,281,937.00","522,334.00",0.02
AT0000937503,VOESTALPINE,Iron & Steel,2013,"15,880,624.00","613,034.00",0.04
AT0000937503,VOESTALPINE,Iron & Steel,2014,"13,586,452.00","542,209.00",0.04
AT0000937503,VOESTALPINE,Iron & Steel,2015,"12,155,564.00","582,353.00",0.05
AT0000937503,VOESTALPINE,Iron & Steel,2016,"11,674,712.00","617,345.00",0.05
AT0000937503,VOESTALPINE,Iron & Steel,2017,"15,862,158.00","953,368.00",0.06
AU000000AGL7,AGL ENERGY,Multiutilities,2013,"8,692,073.00","347,747.00",0.04
AU000000AGL7,AGL ENERGY,Multiutilities,2014,"7,809,549.00","466,462.00",0.06
AU000000AGL7,AGL ENERGY,Multiutilities,2015,"7,768,933.00","158,609.00",0.02
AU000000AGL7,AGL ENERGY,Multiutilities,2016,"8,073,774.00","-295,435.00",-0.04
AU000000AGL7,AGL ENERGY,Multiutilities,2017,"9,652,471.00","413,436.00",0.04
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,2013,"723,481.00","95,906.00",0.13
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,2014,"702,902.00","-13,445.00",-0.02
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,2015,"1,157,540.00","135,640.00",0.12
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,2016,"1,548,861.00","253,799.00",0.16
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,2017,"1,932,930.00","388,485.00",0.20
AU000000AMC4,AMCOR,Containers & Package,2013,"11,116,195.00","537,322.00",0.05
AU000000AMC4,AMCOR,Containers & Package,2014,"8,881,919.00","462,206.00",0.05
AU000000AMC4,AMCOR,Containers & Package,2015,"8,451,217.00","598,157.00",0.07
AU000000AMC4,AMCOR,Containers & Package,2016,"9,382,724.00","243,101.00",0.03
AU000000AMC4,AMCOR,Containers & Package,2017,"9,257,807.00","607,286.00",0.07
AU000000AMP6,AMP,Life Insurance,2013,"17,981,409.00","601,199.00",0.03
AU000000AMP6,AMP,Life Insurance,2014,"14,392,385.00","723,425.00",0.05
AU000000AMP6,AMP,Life Insurance,2015,"10,201,908.00","707,193.00",0.07
AU000000AMP6,AMP,Life Insurance,2016,"10,695,759.00","-249,092.00",-0.02
AU000000AMP6,AMP,Life Insurance,2017,"14,338,191.00","663,255.00",0.05
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,2013,"30,627,172.00","5,605,826.00",0.18
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,2014,"31,799,586.00","5,945,339.00",0.19
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,2015,"29,077,840.00","5,450,913.00",0.19
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,2016,"28,388,548.00","4,133,917.00",0.15
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,2017,"30,991,685.00","5,026,527.00",0.16
AU000000APA1,APA GROUP,O&G T&D,2013,"1,098,083.00","267,289.00",0.24
AU000000APA1,APA GROUP,O&G T&D,2014,"1,089,804.00","281,272.00",0.26
AU000000APA1,APA GROUP,O&G T&D,2015,"1,120,227.00","407,384.00",0.36
AU000000APA1,APA GROUP,O&G T&D,2016,"1,504,203.00","130,065.00",0.09
AU000000APA1,APA GROUP,O&G T&D,2017,"1,767,748.00","181,671.00",0.10
AU000000AST5,AUSNET SERVICES,Power generation,2013,"1,466,765.00","249,695.00",0.17
AU000000AST5,AUSNET SERVICES,Power generation,2014,"1,472,546.00","145,912.00",0.10
AU000000AST5,AUSNET SERVICES,Power generation,2015,"1,334,280.00","16,443.00",0.01
AU000000AST5,AUSNET SERVICES,Power generation,2016,"1,389,558.00","354,305.00",0.25
AU000000AST5,AUSNET SERVICES,Power generation,2017,"1,464,932.00","223,521.00",0.15
AU000000ASX7,ASX,Investment Services,2013,"701,310.00","311,514.00",0.44
AU000000ASX7,ASX,Investment Services,2014,"661,639.00","313,593.00",0.47
AU000000ASX7,ASX,Investment Services,2015,"631,308.00","289,425.00",0.46
AU000000ASX7,ASX,Investment Services,2016,"657,053.00","308,614.00",0.47
AU000000ASX7,ASX,Investment Services,2017,"714,884.00","332,973.00",0.47
AU000000AWC3,ALUMINA,Aluminum,2013,280.00,467.00,1.67
AU000000AWC3,ALUMINA,Aluminum,2014,91.00,"-89,517.00",-983.70
AU000000AWC3,ALUMINA,Aluminum,2015,98.00,"86,116.00",878.73
AU000000AWC3,ALUMINA,Aluminum,2016,585.00,"-29,428.00",-50.30
AU000000AWC3,ALUMINA,Aluminum,2017,610.00,"345,561.00",566.49
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,2013,"3,331,736.00","399,815.00",0.12
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,2014,"3,119,482.00","206,880.00",0.07
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,2015,"2,715,270.00","439,449.00",0.16
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,2016,"2,503,956.00","52,136.00",0.02
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,2017,"2,648,063.00","-144,127.00",-0.05
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,2013,"3,037,757.00","309,367.00",0.10
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,2014,"2,654,576.00","300,008.00",0.11
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,2015,"2,404,673.00","305,868.00",0.13
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,2016,"2,229,303.00","300,938.00",0.13
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,2017,"2,312,328.00","329,522.00",0.14
AU000000BHP4,BHP BILLITON,Other Mining,2013,"57,298,553.00","9,446,687.00",0.16
AU000000BHP4,BHP BILLITON,Other Mining,2014,"60,176,912.00","12,385,309.00",0.21
AU000000BHP4,BHP BILLITON,Other Mining,2015,"39,246,397.00","1,679,376.00",0.04
AU000000BHP4,BHP BILLITON,Other Mining,2016,"30,785,429.00","-6,358,856.00",-0.21
AU000000BHP4,BHP BILLITON,Other Mining,2017,"38,944,637.00","5,991,483.00",0.15
AU000000BLD2,BORAL,Building Mat.& Fix.,2013,"4,660,548.00","-189,754.00",-0.04
AU000000BLD2,BORAL,Building Mat.& Fix.,2014,"3,645,847.00","141,821.00",0.04
AU000000BLD2,BORAL,Building Mat.& Fix.,2015,"3,126,781.00","186,984.00",0.06
AU000000BLD2,BORAL,Building Mat.& Fix.,2016,"3,121,763.00","185,371.00",0.06
AU000000BLD2,BORAL,Building Mat.& Fix.,2017,"3,265,916.00","227,735.00",0.07
AU000000BOQ8,BANK OF QLND.,Banks,2013,"2,198,135.00","158,799.00",0.07
AU000000BOQ8,BANK OF QLND.,Banks,2014,"1,903,409.00","213,181.00",0.11
AU000000BOQ8,BANK OF QLND.,Banks,2015,"1,787,626.00","231,365.00",0.13
AU000000BOQ8,BANK OF QLND.,Banks,2016,"1,719,026.00","244,748.00",0.14
AU000000BOQ8,BANK OF QLND.,Banks,2017,"1,792,517.00","279,188.00",0.16
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,2013,"6,522,208.00","-75,239.00",-0.01
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,2014,"6,552,394.00","-67,432.00",-0.01
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,2015,"6,213,473.00","99,167.00",0.02
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,2016,"6,663,724.00","256,188.00",0.04
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,2017,"8,168,166.00","549,126.00",0.07
AU000000BXB1,BRAMBLES,Containers & Package,2013,"5,160,329.00","561,250.00",0.11
AU000000BXB1,BRAMBLES,Containers & Package,2014,"4,839,242.00","1,135,111.00",0.23
AU000000BXB1,BRAMBLES,Containers & Package,2015,"4,804,773.00","513,836.00",0.11
AU000000BXB1,BRAMBLES,Containers & Package,2016,"5,512,735.00","585,294.00",0.11
AU000000BXB1,BRAMBLES,Containers & Package,2017,"5,192,245.00","186,051.00",0.04
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,2013,"39,176,371.00","6,832,381.00",0.17
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,2014,"33,465,754.00","7,026,384.00",0.21
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,2015,"30,336,526.00","6,556,083.00",0.22
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,2016,"29,827,345.00","6,645,114.00",0.22
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,2017,"31,612,150.00","7,615,205.00",0.24
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,2013,"4,580,477.00","71,482.00",0.02
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,2014,"4,119,674.00","222,674.00",0.05
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,2015,"3,773,804.00","286,224.00",0.08
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,2016,"3,803,870.00","178,202.00",0.05
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,2017,"3,929,628.00","348,209.00",0.09
AU000000CGF5,CHALLENGER,Life Insurance,2013,"1,302,778.00","372,887.00",0.29
AU000000CGF5,CHALLENGER,Life Insurance,2014,"1,322,296.00","278,731.00",0.21
AU000000CGF5,CHALLENGER,Life Insurance,2015,"1,228,856.00","217,542.00",0.18
AU000000CGF5,CHALLENGER,Life Insurance,2016,"1,284,056.00","237,289.00",0.18
AU000000CGF5,CHALLENGER,Life Insurance,2017,"1,512,839.00","304,976.00",0.20
AU000000CIM7,CIMIC GROUP,Heavy Construction,2013,"20,187,327.00","455,104.00",0.02
AU000000CIM7,CIMIC GROUP,Heavy Construction,2014,"13,779,438.00","553,616.00",0.04
AU000000CIM7,CIMIC GROUP,Heavy Construction,2015,"9,695,596.00","378,625.00",0.04
AU000000CIM7,CIMIC GROUP,Heavy Construction,2016,"7,896,658.00","420,198.00",0.05
AU000000CIM7,CIMIC GROUP,Heavy Construction,2017,"10,552,008.00","549,141.00",0.05
AU000000COH5,COCHLEAR,Medical Equipment,2013,"673,416.00","118,596.00",0.18
AU000000COH5,COCHLEAR,Medical Equipment,2014,"658,722.00","76,687.00",0.12
AU000000COH5,COCHLEAR,Medical Equipment,2015,"673,455.00","106,108.00",0.16
AU000000COH5,COCHLEAR,Medical Equipment,2016,"818,639.00","136,799.00",0.17
AU000000COH5,COCHLEAR,Medical Equipment,2017,"961,748.00","171,523.00",0.18
AU000000CPU5,COMPUTERSHARE,Financial Admin.,2013,"1,766,051.00","137,564.00",0.08
AU000000CPU5,COMPUTERSHARE,Financial Admin.,2014,"1,804,352.00","225,107.00",0.12
AU000000CPU5,COMPUTERSHARE,Financial Admin.,2015,"1,733,232.00","135,032.00",0.08
AU000000CPU5,COMPUTERSHARE,Financial Admin.,2016,"1,953,095.00","156,690.00",0.08
AU000000CPU5,COMPUTERSHARE,Financial Admin.,2017,"2,142,044.00","270,985.00",0.13
AU000000CSL8,CSL,Pharmaceuticals,2013,"4,337,203.00","1,065,639.00",0.25
AU000000CSL8,CSL,Pharmaceuticals,2014,"4,946,512.00","1,170,301.00",0.24
AU000000CSL8,CSL,Pharmaceuticals,2015,"4,948,443.00","1,212,492.00",0.25
AU000000CSL8,CSL,Pharmaceuticals,2016,"6,104,104.00","1,237,313.00",0.20
AU000000CSL8,CSL,Pharmaceuticals,2017,"7,053,165.00","1,360,443.00",0.19
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,2013,"22,076,527.00","474,185.00",0.02
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,2014,"19,829,691.00","16,311.00",0.00
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,2015,"14,571,139.00","379,430.00",0.03
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,2016,"12,985,526.00","441,661.00",0.03
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,2017,"16,736,429.00","484,211.00",0.03
AU000000CWN6,CROWN RESORTS,Gambling,2013,"2,552,916.00","354,088.00",0.14
AU000000CWN6,CROWN RESORTS,Gambling,2014,"2,532,268.00","536,646.00",0.21
AU000000CWN6,CROWN RESORTS,Gambling,2015,"2,535,128.00","280,147.00",0.11
AU000000CWN6,CROWN RESORTS,Gambling,2016,"2,618,475.00","687,048.00",0.26
AU000000CWN6,CROWN RESORTS,Gambling,2017,"2,565,096.00","1,431,345.00",0.56
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2013,"263,821.00","25,638.00",0.10
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2014,"481,743.00","34,619.00",0.07
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2015,"511,068.00","46,599.00",0.09
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2016,"673,576.00","59,686.00",0.09
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2017,"823,133.00","78,896.00",0.10
AU000000DXS1,DEXUS,Diversified REITs,2013,"551,994.00","460,293.00",0.83
AU000000DXS1,DEXUS,Diversified REITs,2014,"566,383.00","332,743.00",0.59
AU000000DXS1,DEXUS,Diversified REITs,2015,"622,722.00","450,144.00",0.72
AU000000DXS1,DEXUS,Diversified REITs,2016,"627,437.00","912,228.00",1.45
AU000000DXS1,DEXUS,Diversified REITs,2017,"694,251.00","969,696.00",1.40
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,2013,"1,739,682.00","220,155.00",0.13
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,2014,"1,836,851.00","169,332.00",0.09
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,2015,"1,743,964.00","186,659.00",0.11
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,2016,"1,930,592.00","177,084.00",0.09
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,2017,"2,053,632.00","177,013.00",0.09
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,2013,"7,143,103.00","1,529,726.00",0.21
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,2014,"10,523,752.00","2,444,469.00",0.23
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,2015,"7,538,727.00","278,724.00",0.04
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,2016,"7,053,998.00","979,971.00",0.14
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,2017,"8,592,539.00","2,129,062.00",0.25
AU000000GMG2,GOODMAN GROUP,Diversified REITs,2013,"793,011.00","144,037.00",0.18
AU000000GMG2,GOODMAN GROUP,Diversified REITs,2014,"968,767.00","537,904.00",0.56
AU000000GMG2,GOODMAN GROUP,Diversified REITs,2015,"867,912.00","878,898.00",1.01
AU000000GMG2,GOODMAN GROUP,Diversified REITs,2016,"1,254,440.00","922,945.00",0.74
AU000000GMG2,GOODMAN GROUP,Diversified REITs,2017,"1,364,800.00","596,836.00",0.44
AU000000GPT8,GPT GROUP,Retail REITs,2013,"554,678.00","488,922.00",0.88
AU000000GPT8,GPT GROUP,Retail REITs,2014,"530,457.00","507,625.00",0.96
AU000000GPT8,GPT GROUP,Retail REITs,2015,"500,855.00","630,362.00",1.26
AU000000GPT8,GPT GROUP,Retail REITs,2016,"510,639.00","834,676.00",1.63
AU000000GPT8,GPT GROUP,Retail REITs,2017,"552,660.00","992,614.00",1.80
AU000000HSO1,HEALTHSCOPE,Healthcare Providers,2013,"1,978,348.00","-104,741.00",-0.05
AU000000HSO1,HEALTHSCOPE,Healthcare Providers,2014,"1,903,549.00","-15,776.00",-0.01
AU000000HSO1,HEALTHSCOPE,Healthcare Providers,2015,"1,569,090.00","102,476.00",0.07
AU000000HSO1,HEALTHSCOPE,Healthcare Providers,2016,"1,658,853.00","131,135.00",0.08
AU000000HSO1,HEALTHSCOPE,Healthcare Providers,2017,"1,778,159.00","85,065.00",0.05
AU000000HVN7,HARVEY NORMAN HOLDINGS,Food and broadline retailers,2013,"2,067,342.00","127,228.00",0.06
AU000000HVN7,HARVEY NORMAN HOLDINGS,Food and broadline retailers,2014,"2,051,463.00","173,241.00",0.08
AU000000HVN7,HARVEY NORMAN HOLDINGS,Food and broadline retailers,2015,"1,938,656.00","195,056.00",0.10
AU000000HVN7,HARVEY NORMAN HOLDINGS,Food and broadline retailers,2016,"2,109,049.00","252,427.00",0.12
AU000000HVN7,HARVEY NORMAN HOLDINGS,Food and broadline retailers,2017,"2,297,526.00","344,384.00",0.15
AU000000IAG3,INSURANCE AUS.GROUP,Prop. & Casualty Ins.,2013,"8,216,392.00","925,060.00",0.11
AU000000IAG3,INSURANCE AUS.GROUP,Prop. & Casualty Ins.,2014,"9,875,892.00","1,009,030.00",0.10
AU000000IAG3,INSURANCE AUS.GROUP,Prop. & Casualty Ins.,2015,"10,594,066.00","529,667.00",0.05
AU000000IAG3,INSURANCE AUS.GROUP,Prop. & Casualty Ins.,2016,"11,887,636.00","452,566.00",0.04
AU000000IAG3,INSURANCE AUS.GROUP,Prop. & Casualty Ins.,2017,"12,290,333.00","712,583.00",0.06
AU000000IPL1,INCITEC PIVOT,Specialty Chemicals,2013,"3,091,525.00","332,807.00",0.11
AU000000IPL1,INCITEC PIVOT,Specialty Chemicals,2014,"2,757,934.00","202,215.00",0.07
AU000000IPL1,INCITEC PIVOT,Specialty Chemicals,2015,"2,660,048.00","290,007.00",0.11
AU000000IPL1,INCITEC PIVOT,Specialty Chemicals,2016,"2,434,876.00","92,758.00",0.04
AU000000IPL1,INCITEC PIVOT,Specialty Chemicals,2017,"2,729,594.00","250,071.00",0.09
AU000000JHX1,JAMES HARDIE INDS.CDI.,Building Mat.& Fix.,2013,"1,413,340.00","48,669.00",0.03
AU000000JHX1,JAMES HARDIE INDS.CDI.,Building Mat.& Fix.,2014,"1,345,780.00","89,641.00",0.07
AU000000JHX1,JAMES HARDIE INDS.CDI.,Building Mat.& Fix.,2015,"1,434,041.00","252,119.00",0.18
AU000000JHX1,JAMES HARDIE INDS.CDI.,Building Mat.& Fix.,2016,"1,654,354.00","233,957.00",0.14
AU000000JHX1,JAMES HARDIE INDS.CDI.,Building Mat.& Fix.,2017,"2,141,273.00","156,648.00",0.07
AU000000LLC3,LENDLEASE GROUP,Real Estate Services,2013,"11,022,078.00","493,484.00",0.04
AU000000LLC3,LENDLEASE GROUP,Real Estate Services,2014,"11,404,494.00","673,423.00",0.06
AU000000LLC3,LENDLEASE GROUP,Real Estate Services,2015,"9,662,710.00","450,071.00",0.05
AU000000LLC3,LENDLEASE GROUP,Real Estate Services,2016,"10,925,663.00","505,570.00",0.05
AU000000LLC3,LENDLEASE GROUP,Real Estate Services,2017,"12,778,172.00","581,879.00",0.05
AU000000MGR9,MIRVAC GROUP,Residential REITs,2013,"1,314,855.00","123,908.00",0.09
AU000000MGR9,MIRVAC GROUP,Residential REITs,2014,"1,523,774.00","366,050.00",0.24
AU000000MGR9,MIRVAC GROUP,Residential REITs,2015,"1,237,951.00","443,742.00",0.36
AU000000MGR9,MIRVAC GROUP,Residential REITs,2016,"1,704,544.00","748,001.00",0.44
AU000000MGR9,MIRVAC GROUP,Residential REITs,2017,"1,745,023.00","892,838.00",0.51
AU000000MPL3,MEDIBANK PRIVATE,Life Insurance,2013,"5,372,345.00","208,220.00",0.04
AU000000MPL3,MEDIBANK PRIVATE,Life Insurance,2014,"5,307,552.00","107,042.00",0.02
